step,elapsed_s,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky
0,0.46304562501609325,0.09405355916685741,0.06941329060807203,-130.0,41.0,0.08,0.047333485923552306,312.0,43.0,0.08032043945983063,0.05133134966048676,650.0,45.0,0.08,0.046967269398031586,-234.0,47.0,0.08028992141603723,0.05125505455100328,-559.0,47.0,0.08,0.04666208896009766,-481.0,49.0,0.08,0.04757763027389944,-455.0,48.0
1,0.5184988330584019,0.1740535591668574,,,,0.16,,,,0.16032043945983063,,,,0.16,,,,0.16028992141603723,,,,0.16,,,,0.16,,,
2,0.5707316249608994,0.2540535591668574,,,,0.24,,,,0.24032043945983061,,,,0.24,,,,0.24028992141603722,,,,0.24,,,,0.24,,,
3,0.6262790830805898,0.27987299025058743,,,,0.32,,,,0.32032043945983063,,,,0.32,,,,0.25456013679504397,,,,0.32,,,,0.32,,,
4,0.6819080410059541,0.29302139699459073,,,,0.29754894971847534,,,,0.3271016123890877,,,,0.4,,,,0.26610364615917204,,,,0.4,,,,0.4,,,
5,0.7404088750481606,0.3293348699808121,0.3163347829404135,-136.5,41.0,0.23610938847064974,0.2502021820401312,364.0,43.0,0.3849737292528152,0.36005188067444877,182.0,45.0,0.4388393461704254,0.41945525291828795,97.5,47.0,0.2343057304620743,0.24075684748607612,650.0,47.0,0.4024957656860352,0.3944457160296025,481.0,49.0,0.48000000000000004,0.43776607919432364,-539.5,48.0
6,0.7943932500202209,0.30723469793796543,,,,0.24709563791751862,,,,0.41813942074775695,,,,0.45829337537288667,,,,0.292937308549881,,,,0.4824957656860352,,,,0.56,,,
7,0.8496026250068098,0.30908533275127414,,,,0.3270956379175186,,,,0.4087649822235107,,,,0.45868649184703825,,,,0.24615252614021305,,,,0.5624957656860352,,,,0.64,,,
8,0.9034499160479754,0.3045424342155457,,,,0.37558470606803895,,,,0.36002367347478864,,,,0.3816696465015411,,,,0.28732878565788267,,,,0.5042543947696686,,,,0.7196172595024108,,,
9,0.9590123749803752,0.32243164539337166,,,,0.3002891159057618,,,,0.29561392158269884,,,,0.3311491310596466,,,,0.2938999474048615,,,,0.46057382225990295,,,,0.6562389314174653,,,
10,1.014368541073054,0.35311424434185035,0.34181734950789655,-84.5,41.0,0.23690053641796113,0.2518959334706645,377.0,43.0,0.37561392158269885,0.3412680247196155,253.5,45.0,0.3796698719263077,0.35844968337529565,474.5,46.0,0.27924467623233795,0.278965438315404,370.5,47.0,0.3911530911922455,0.4130464637216754,1326.0,49.0,0.6350202798843384,0.6381933318074311,793.0,48.0
11,1.0661965410690755,0.33453768849372867,,,,0.2569390749931335,,,,0.42726583540439605,,,,0.4376086354255676,,,,0.23228177726268773,,,,0.4711530911922455,,,,0.7150202798843384,,,
12,1.1215627500787377,0.3093815970420838,,,,0.3098690581321717,,,,0.42026921540498735,,,,0.44778873324394225,,,,0.2891802340745926,,,,0.5511530911922455,,,,0.7753145873546601,,,
13,1.176799040986225,0.34063534557819364,,,,0.3118204295635224,,,,0.4282567667961121,,,,0.5277887332439423,,,,0.3620498925447464,,,,0.4711530911922455,,,,0.7989021182060241,,,
14,1.2278743751812726,0.3343036460876465,,,,0.3132536482810975,,,,0.44455413162708285,,,,0.550014328956604,,,,0.4117892861366272,,,,0.5511530911922455,,,,0.7189021182060241,,,
