step,time_s,reward,done,sim_action_0_right_index_A_tendon,sim_delta_0_right_index_A_tendon,sim_action_1_right_middle_A_tendon,sim_delta_1_right_middle_A_tendon,sim_action_2_right_ring_A_tendon,sim_delta_2_right_ring_A_tendon,sim_action_3_right_pinky_A_tendon,sim_delta_3_right_pinky_A_tendon,sim_action_4_right_thumb_A_cmc_abd,sim_delta_4_right_thumb_A_cmc_abd,sim_action_5_right_th1_A_tendon,sim_delta_5_right_th1_A_tendon,sim_action_6_right_th2_A_tendon,sim_delta_6_right_th2_A_tendon,physical_target_0_thumb_abd,physical_target_1_thumb_flex,physical_target_2_thumb_tendon,physical_target_3_index,physical_target_4_middle,physical_target_5_ring,physical_target_6_pinky
0,0.0,0.0,False,0.1901247799396515,0.0,0.8067083954811096,0.0,0.008780653588473797,0.0,-0.35638681054115295,0.0,-0.32586807012557983,0.0,-0.2405070662498474,0.0,-0.05116252228617668,0.0,0.014053559166857405,0.0,0.00032043945983062307,0.04753119498491287,0.20196702028631464,0.002195163397118449,0.0
1,0.05,-0.09815862029790878,False,0.6624433994293213,0.4723186194896698,0.898088812828064,0.09138041734695435,-0.1293104588985443,-0.13809111714363098,-0.49235373735427856,-0.1359669268131256,-0.13252884149551392,0.19333922863006592,-0.2766481637954712,-0.03614109754562378,0.10141346603631973,0.15257598459720612,0.014053559166857405,0.0,0.025673805968910557,0.16561084985733032,0.22481212462305322,0.0,0.0
2,0.1,-0.03313048556447029,False,0.3800887167453766,-0.2823546826839447,0.7741922736167908,-0.1238965392112732,-0.29804810881614685,-0.16873764991760254,-0.6335691809654236,-0.14121544361114502,-0.39372116327285767,-0.26119232177734375,-0.25347504019737244,0.023173123598098755,0.10701893270015717,0.005605466663837433,0.014053559166857405,0.0,0.027075172634869915,0.09502217918634415,0.19383798982023492,0.0,0.0
3,0.15000000000000002,0.08868127316236496,False,0.4712735712528229,0.09118485450744629,0.8084115386009216,0.03421926498413086,-0.18263155221939087,0.11541655659675598,-0.8688714504241943,-0.23530226945877075,-0.3926994502544403,0.0010217130184173584,-0.16404440999031067,0.08943063020706177,-0.05072065070271492,-0.1577395796775818,0.014053559166857405,0.0,0.00032043945983062307,0.11781839281320572,0.20239280606626764,0.0,0.0
4,0.2,-0.013383532874286175,False,0.4576163589954376,-0.013657212257385254,0.7892673015594482,-0.01914423704147339,-0.0973728597164154,0.08525869250297546,-0.8743557929992676,-0.005484342575073242,-0.3766973614692688,0.01600208878517151,-0.12243586778640747,0.0416085422039032,0.00611982773989439,0.056840479373931885,0.014053559166857405,0.0,0.0018503963948042206,0.1144040897488594,0.1976067468058993,0.0,0.0
5,0.25,0.1002698764204979,False,0.22843310236930847,-0.22918325662612915,0.6432942152023315,-0.1459730863571167,-0.4511997103691101,-0.3538268506526947,-0.7185935974121094,0.1557621955871582,-0.8225007057189941,-0.44580334424972534,-0.296946257352829,-0.1745103895664215,0.40964752435684204,0.40352770686149597,0.014053559166857405,0.0,0.10273232054904113,0.05710827559232712,0.16111347521662012,0.0,0.0
6,0.30000000000000004,-0.022297872230410576,False,0.23782940208911896,0.009396299719810486,0.7267381548881531,0.08344393968582153,-0.4394068121910095,0.011792898178100586,-0.6143063306808472,0.10428726673126221,-0.7811389565467834,0.04136174917221069,-0.23458866775035858,0.0623575896024704,0.33875173330307007,-0.07089579105377197,0.014053559166857405,0.0,0.08500837278559814,0.05945735052227974,0.1819744601380755,0.0,0.0
7,0.35000000000000003,0.3511680066585541,False,-0.2604970633983612,-0.49832648038864136,0.8173308968544006,0.09059274196624756,-0.14091446995735168,0.29849234223365784,-0.4628852307796478,0.15142109990119934,-0.32434338331222534,0.4567955732345581,-0.05451327934861183,0.18007539212703705,-0.17844140529632568,-0.5171931385993958,0.014053559166857405,0.0,0.00032043945983062307,0.0,0.2046226456296374,0.0,0.0
8,0.4,0.34452924132347107,False,0.09241147339344025,0.35290855169296265,0.7702016830444336,-0.04712921380996704,0.15944138169288635,0.30035585165023804,-0.25960856676101685,0.20327666401863098,0.011421861127018929,0.3357652425765991,-0.28397998213768005,-0.22946670651435852,0.07346366345882416,0.25190508365631104,0.016909024448612135,0.0,0.018686355324536663,0.02310286834836006,0.19284034217714563,0.03986034542322159,0.0
9,0.45,0.631542980670929,False,0.5714563131332397,0.4790448546409607,0.8352605104446411,0.06505882740020752,0.14225053787231445,-0.0171908438205719,-0.42070817947387695,-0.1610996127128601,-0.1887325793504715,-0.20015443861484528,-0.2941019833087921,-0.01012200117111206,0.1658279001712799,0.09236423671245575,0.014053559166857405,0.0,0.0417774145026506,0.14286407828330994,0.2091050490271975,0.03556263446807861,0.0
